Country Name,Country Code,lat,lng,1971,1976,1981,1986,1991,1996,2001,2006,2011,2016,2021
Afghanistan,AFG,33.93911,67.709953,,,,,,,98.26676941,87.59027863,96.19109344,101.5457001,99.25726318
Algeria,DZA,28.033886,1.659626,,,,,,,,,17.37347984,17.66576004,20.73881912
American Samoa,ASM,-14.270972,-170.132217,,,,,,89.97762299,87.75083923,91.59715271,93.75469971,99.15677643,92.70281982
Angola,AGO,-11.202692,17.873887,29.71796989,32.36227036,38.55244064,44.23651886,48.92956161,53.15483093,58.32337189,61.07672119,65.06022644,67.02854156,69.37291718
Antigua and Barbuda,ATG,17.060816,-61.796428,,21.58415985,33.61711121,63.16624832,64.90965271,82.1190033,79.41719818,79.34046936,84.51413727,81.70572662,96.85858917
Argentina,ARG,-38.416097,-63.616672,,,,,,,86.45845795,100.2897034,96.92008972,87.51687622,90.10375214
Aruba,ABW,12.52111,-69.968338,,,,,,,,,103.0144196,112.5941086,
Austria,AUT,47.516231,14.550072,,,,,,,103.6181183,102.3303299,101.7139816,97.1798172,
Azerbaijan,AZE,40.143105,47.576927,,,,,,87.96227264,73.99507141,88.86907196,89.31443787,89.03829193,101.2884369
"Bahamas, The",BHS,25.03428,-77.39628,0.959829986,1.151800036,1.429620028,1.385280013,2.996999979,5.208360195,7.879630089,9.088179588,18.47842979,40.4493103,29.95306969
Bahrain,BHR,25.930414,50.637772,,45.94369125,,,,,,89.60427094,92.20603943,94.40424347,
Bangladesh,BGD,23.684994,90.356331,3.785919905,8.490449905,12.40431976,13.60371971,6.569849968,,16.50733948,25.49648094,37.39508057,45.84719849,33.00318146
Barbados,BRB,13.193887,-59.543198,1.159100056,1.407670021,1.918560028,3.276390076,5.159719944,,7.400169849,10.89828014,18.06627083,30.14426041,41.3694191
Belarus,BLR,53.709807,27.953389,,,,,,,59.42726135,54.0037384,60.08863831,79.35987091,
Belgium,BEL,50.503887,4.469936,85.0864563,89.04673767,80.70575714,87.7815094,84.32723999,90.00676727,61.23455811,,,,
Belize,BLZ,17.189877,-88.49765,53.71628189,49.38064957,59.54087067,81.81952667,91.98036194,,92.46775055,94.71214294,92.46174622,97.741539,
Benin,BEN,9.30769,2.315834,,,,,,,80.89515686,90.39192963,92.24311829,,
Bermuda,BMU,32.321384,-64.75737,,,,,,,,,28.53344917,74.53884125,
Bhutan,BTN,27.514162,90.433601,97.654953,105.9047089,99.83984375,100.1662369,94.11296082,93.61096191,98.82028961,116.0301285,97.20362091,107.4064636,96.31822968
Bolivia,BOL,-16.290154,-63.588653,,,,,,,54.28871918,63.36740875,62.63301849,70.37978363,69.46466827
Bosnia and Herzegovina,BIH,43.915886,17.679076,,,,,,,88.03717041,82.59346008,82.33083344,77.74935913,87.21399689
Botswana,BWA,-22.328474,24.684866,,,,,53.40422058,68.14608765,84.92192078,93.79048157,84.86393738,85.87699127,89.17938232
Brazil,BRA,-14.235004,-51.92528,,,,,,,,75.85272217,71.75012207,,
British Virgin Islands,VGB,18.420695,-64.639968,,,,,,,99.07936859,109.1437225,100.7246399,,88.96778107
Brunei Darussalam,BRN,4.535277,114.727669,,42.05226135,41.51686859,,54.51586914,,,102.7586212,101.0036163,101.4855118,110.9865112
Bulgaria,BGR,42.733883,25.48583,,1.497089982,3.438899994,,,,31.46404076,43.02999878,65.72904968,80.17082214,85.07657623
Burkina Faso,BFA,12.238333,-1.561593,,,,37.60837173,73.10965729,87.61239624,91.55921936,92.43974304,95.46853638,99.07743073,92.83197021
Burundi,BDI,-3.373056,29.918886,3.039920092,5.336410046,8.578689575,13.77163029,7.351099968,,,8.5313797,12.73836994,9.811349869,12.23707008
Cambodia,KHM,12.565679,104.990963,85.53823853,85.96353149,86.00950623,85.51902771,89.43179321,89.25389862,89.32111359,90.63030243,93.8524704,91.01727295,89.46835327
Cameroon,CMR,7.369722,12.354722,,,,,,,,98.0241394,94.79602814,98.39038086,95.61929321
Cayman Islands,CYM,19.513469,-80.566956,,,,,53.41888046,67.79125977,,98.46726227,99.51548767,,
Central African Republic,CAF,6.611111,20.939444,8.356490135,10.27729988,15.61935043,16.71767998,19.08153915,17.49415016,22.9990406,26.0035305,27.7605896,38.63138962,57.30815887
Chad,TCD,15.454166,18.732207,12.01939964,,,,,,,,41.53707886,42.33935928,50.43238831
Chile,CHL,-35.675147,-71.542969,,,,42.06082916,43.05141068,46.86613083,60.12485886,78.21257019,91.24649811,74.08377838,79.49662018
China,CHN,35.86166,104.195397,,,28.57966042,34.49507904,22.16770935,,28.00598907,34.41489029,45.65420151,48.31391907,43.66270065
Colombia,COL,4.570868,-74.297333,,,5.24406004,8.887749672,13.41104031,,51.78015137,71.48277283,80.62029266,79.16989899,71.27355194
Comoros,COM,-11.875001,43.872219,21.15958023,,32.57125092,28.38150978,29.09750938,31.27998924,42.66833115,55.815979,53.60002136,56.51549911,69.22277069
"Congo, Dem. Rep.",COD,-4.038333,21.758664,60.87657166,64.05487823,75.71697235,75.66004944,84.69809723,80.9210434,81.75788116,85.84407043,84.73349762,81.74028015,79.58508301
"Congo, Rep.",COG,-0.228021,15.827659,10.13751984,20.84114075,78.77735901,82.54844666,84.6974411,66.95056915,83.13665009,97.80991364,85.87918854,89.17572021,86.05069733
Cote d'Ivoire,CIV,7.539989,-5.54708,,,,,,,88.45265961,81.30989838,91.33126831,89.52958679,80.3973465
Croatia,HRV,45.1,15.2,47.08203888,59.32664108,63.37509155,71.6109314,61.87612152,91.68565369,91.52468109,99.81640625,92.8713913,98.34835052,98.09860992
Cuba,CUB,21.521757,-77.781167,,,,,,101.6453781,,99.21669006,88.6150589,96.95422363,91.96784973
Cyprus,CYP,35.126413,33.429859,,3.150949955,,7.771279812,8.694410324,10.37343979,13.94686985,20.6119194,50.18487167,43.27186966,49.81560135
Czechia,CZE,49.817492,15.472962,,,,,,,,85.88234711,80.02735901,87.16921234,90.69374084
Denmark,DNK,56.26392,9.501785,,,,,,,,99.21456146,99.70815277,99.45043182,103.6170197
Djibouti,DJI,11.825138,42.590275,,,,,,,60.78660965,75.25054932,76.53803253,84.5930481,85.31755829
Dominica,DMA,15.414999,-61.370976,9.248829842,17.72447014,31.16198921,44.44152832,55.19691086,57.24636078,54.77035904,66.10224915,70.4348526,79.13480377,51.16453934
Dominican Republic,DOM,18.735693,-70.162651,,,,,52.28697968,63.16650009,77.57230377,87.30201721,91.17630768,86.57810211,91.19972229
Ecuador,ECU,-1.831239,-78.183406,23.80334091,35.72314072,46.21112823,51.57204819,,,56.77544022,62.37028885,82.43829346,100.4854965,102.3216324
"Egypt, Arab Rep.",EGY,26.820553,30.802498,,37.05984116,47.50679016,,,,84.45278931,78.19512177,77.6775589,83.54232025,51.16453934
El Salvador,SLV,13.794185,-88.89653,,73.26580811,75.4355011,77.65897369,84.65905762,86.5944519,89.21398926,94.59538269,93.76023865,94.75836182,95.71774292
Equatorial Guinea,GNQ,1.650801,10.267895,,,,,,26.1089592,35.40198898,43.62208939,58.27893066,52.41188812,51.16453934
Eritrea,ERI,15.179384,39.782334,,,80.87657928,86.45150757,92.94004059,94.95448303,,79.47364044,77.75878906,91.93804932,97.64369202
Estonia,EST,58.595272,25.013607,,,,,,94.61068726,90.12827301,107.0850067,97.51712799,107.962532,100.9123535
Ethiopia,ETH,9.145,40.489673,77.72657013,80.3214035,81.64974213,82.91596222,88.31391144,89.05268097,90.8256073,94.51412964,94.79440308,95.2687912,95.58895874
Faroe Islands,FRO,61.892635,-6.911806,,,,,,,,,,80.24430847,79.45204926
Fiji,FJI,-16.578193,179.414413,10.16481018,16.70982933,16.52746964,16.44223022,,21.60046005,,,,,59.26791
Finland,FIN,61.92411,25.748151,,,,,,,,,,100.8952103,99.9539566
France,FRA,46.227638,2.213749,46.88341904,48.00159073,,,55.43989182,,49.51353073,55.30410004,64.42613983,74.09867859,78.1767807
French Polynesia,PYF,-17.679742,-149.406843,,,,,,,,,,79.11392212,91.77488708
Gabon,GAB,-0.803689,11.609444,,,8.592209816,7.554729939,8.102169991,,12.39221001,24.59473038,31.00712013,35.41117859,33.16056824
"Gambia, The",GMB,13.443182,-15.310139,,11.57269955,14.69171047,21.64920044,,,39.46977997,57.75907135,56.3013916,56.82075882,57.5816803
Georgia,GEO,42.315407,43.356892,,1.352040052,2.715820074,6.312819958,,,13.24442959,,36.79169846,,
Germany,DEU,51.165691,10.451526,,,,,,,12.49407959,19.66152,26.8906002,28.84306908,24.19734955
Ghana,GHA,7.946527,-1.023194,48.97193909,59.0965004,72.74787903,82.60417175,84.80835724,,,86.49993134,95.45001221,92.53220367,93.94551849
Gibraltar,GIB,36.137741,-5.345374,,,,,,,97.5894165,89.65516663,108.3195572,102.5802383,106.3022537
Greenland,GRL,71.706936,-42.604303,7.860469818,12.8052597,17.84264946,,,,32.7952919,45.36431885,59.09265137,62.63901901,56.21984863
Guam,GUM,13.444304,144.793731,50.22782898,49.6212883,78.59194183,,82.01902008,73.40296936,78.51789093,,,,
Guatemala,GTM,15.783471,-90.230759,82.06466675,84.47924042,86.42661285,87.9478302,91.25189972,91.76667786,93.00734711,95.09555817,95.8687973,96.61724091,96.61229706
Guinea,GIN,9.945587,-9.696645,,,56.05850983,68.03639984,72.11454773,82.29232025,89.14215088,96.08480835,99.94045258,101.009201,103.9208527
Guinea-Bissau,GNB,11.803749,-15.180413,,,,,24.66128922,,,43.48062897,42.87393951,36.82339096,46.72914124
Guyana,GUY,4.860416,-58.93018,17.32379913,17.62367058,18.84678078,18.79406929,19.22937012,20.34929085,21.97912025,27.99514961,35.62445831,39.64434052,40.56391144
Haiti,HTI,18.971187,-72.285215,,,,,,85.92996216,89.85572815,97.87799072,102.1384888,93.08521271,100.9800568
Honduras,HND,15.199999,-86.241905,,,,51.53461838,54.58805084,61.7118187,70.45175171,77.61873627,83.66435242,85.34291077,86.73130798
"Hong Kong SAR, China",HKG,22.396428,114.109497,,,,47.37385178,49.38637161,54.55495071,61.80009079,67.54109192,72.18605042,73.9462204,74.7510376
Hungary,HUN,47.162494,19.503304,,29.05112076,30.07646942,30.20875931,30.75761032,31.55371094,34.179039,39.09189987,44.91159058,49.74808121,50.90626144
Iceland,ISL,64.963051,-19.020835,12.84313011,,,40.99914932,,51.92298889,69.11963654,70.39806366,89.23986816,93.8536911,
India,IND,20.593684,78.96288,,,,,,96.9747467,97.00375366,98.51204681,100.3377838,99.40218353,101.1748505
Indonesia,IDN,-0.789275,113.921327,,,,45.17710876,52.4957695,68.14418793,74.0001297,85.38604736,88.41346741,89.27987671,91.35494232
